"Index","fit","lwr","upr"
2014-07-01 12:50:00,1693.93997711515,787.27136363685,2600.60859059345
2014-07-01 13:00:00,909.416029651129,477.759584469702,1341.07247483256
2014-07-01 13:10:00,729.990438288314,-216.824303886732,1676.80518046336
2014-07-01 13:20:00,41.4182292662253,-893.870617383122,976.707075915573
2014-07-01 13:30:00,617.32092846461,-12.5778951570888,1247.21975208631
2014-07-01 13:40:00,866.625097400413,-481.58490404595,2214.83509884677
2014-07-01 13:50:00,557.563158360237,-495.926210673293,1611.05252739377
2014-07-01 14:00:00,281.195788146417,-425.989423803042,988.381000095875
2014-07-01 14:10:00,1464.69753144046,620.701931925868,2308.69313095506
2014-07-01 14:20:00,103.915359022044,-1512.39388737853,1720.22460542262
2014-07-01 14:30:00,103.915359022044,-2022.34695279808,2230.17767084217
